score,rank
696,61
695,71
694,85
693,100
692,118
691,144
690,169
689,201
688,225
687,261
686,301
685,337
684,379
683,432
682,476
681,535
680,605
679,667
678,747
677,813
676,882
675,962
674,1072
673,1154
672,1267
671,1369
670,1475
669,1572
668,1690
667,1823
666,1985
665,2144
664,2302
663,2460
662,2613
661,2783
660,2945
659,3119
658,3290
657,3485
656,3691
655,3907
654,4111
653,4332
652,4527
651,4754
650,4990
649,5255
648,5512
647,5776
646,6058
645,6320
644,6615
643,6907
642,7228
641,7522
640,7838
639,8166
638,8497
637,8848
636,9208
635,9553
634,9929
633,10246
632,10617
631,10990
630,11380
629,11794
628,12226
627,12644
626,13062
625,13479
624,13898
623,14322
622,14764
621,15215
620,15678
619,16131
618,16562
617,17070
616,17564
615,18037
614,18516
613,19028
612,19559
611,20093
610,20631
609,21128
608,21675
607,22235
606,22798
605,23365
604,23939
603,24508
602,25076
601,25685
600,26236
599,26787
598,27403
597,28043
596,28627
595,29241
594,29865
593,30497
592,31066
591,31679
590,32319
589,32937
588,33587
587,34214
586,34828
585,35459
584,36150
583,36862
582,37529
581,38258
580,38945
579,39692
578,40375
577,41104
576,41829
575,42539
574,43262
573,43984
572,44700
571,45460
570,46158
569,46924
568,47688
567,48461
566,49254
565,50020
564,50820
563,51609
562,52386
561,53178
560,53918
559,54750
558,55517
557,56374
556,57227
555,58048
554,58849
553,59703
552,60571
551,61388
550,62210
549,63067
548,63934
547,64847
546,65692
545,66573
544,67429
543,68296
542,69243
541,70160
540,71127
539,71982
538,72941
537,73865
536,74772
535,75730
534,76618
533,77563
532,78541
531,79450
530,80436
529,81375
528,82300
527,83257
526,84241
525,85215
524,86175
523,87139
522,88144
521,89168
520,90130
519,91084
518,92111
517,93117
516,94109
515,95160
514,96183
513,97204
512,98238
511,99296
510,100329
509,101353
508,102366
507,103458
506,104485
505,105510
504,106579
503,107655
502,108661
501,109733
500,110757
