score,rank
642,33
641,41
640,49
639,56
638,62
637,72
636,83
635,94
634,116
633,133
632,157
631,174
630,189
629,214
628,237
627,266
626,287
625,325
624,355
623,397
622,439
621,479
620,532
619,575
618,619
617,677
616,739
615,790
614,846
613,908
612,972
611,1033
610,1109
609,1189
608,1266
607,1359
606,1441
605,1524
604,1607
603,1720
602,1813
601,1916
600,2013
599,2125
598,2225
597,2350
596,2478
595,2607
594,2733
593,2875
592,3012
591,3156
590,3300
589,3448
588,3586
587,3732
586,3889
585,4062
584,4239
583,4416
582,4602
581,4777
580,4981
579,5162
578,5391
577,5634
576,5873
575,6087
574,6309
573,6591
572,6847
571,7120
570,7377
569,7643
568,7931
567,8221
566,8472
565,8750
564,9027
563,9331
562,9661
561,9994
560,10343
559,10690
558,11069
557,11401
556,11784
555,12186
554,12539
553,12921
552,13328
551,13756
550,14151
549,14582
548,15045
547,15460
546,15900
545,16353
544,16811
543,17305
542,17803
541,18278
540,18804
539,19322
538,19818
537,20381
536,20879
535,21398
534,21943
533,22501
532,23077
531,23672
530,24242
529,24833
528,25409
527,26014
526,26628
525,27273
524,27938
523,28571
522,29267
521,29933
520,30640
519,31325
518,32022
517,32730
516,33441
515,34178
514,34944
513,35706
512,36451
511,37206
510,37997
509,38734
508,39492
507,40269
506,41095
505,41835
504,42604
503,43392
502,44210
501,45047
500,45916
